,Year,Rank,Title,Artist,compound,pos,neg,neu
75,2018,26,Friends,Marshmello & Anne-Marie,-0.9758,0.078,0.125,0.798
76,2018,27,Bad At Love,Halsey,0.9869,0.202,0.149,0.649
77,2018,28,Taste,Tyga Featuring Offset,0.9921,0.174,0.109,0.717
78,2018,29,Let You Down,NF,0.9978,0.201,0.088,0.711
79,2018,30,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,-0.9994,0.074,0.221,0.705
80,2018,31,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,-0.9913,0.004,0.069,0.927
81,2018,32,Tequila,Dan + Shay,0.8134,0.089,0.055,0.856
82,2018,33,Feel It Still,Portugal. The Man,0.9931,0.19,0.093,0.717
83,2018,34,MotorSport,"Migos, Nicki Minaj & Cardi B",-0.8318,0.11,0.107,0.783
84,2018,35,I Like Me Better,Lauv,0.9988,0.337,0.039,0.624
85,2018,36,Youngblood,5 Seconds Of Summer,-0.1027,0.124,0.08,0.797
86,2018,37,Whatever It Takes,Imagine Dragons,0.9945,0.177,0.07,0.752
87,2018,38,Ric Flair Drip,Offset & Metro Boomin,0.6817,0.129,0.108,0.763
88,2018,39,I Fall Apart,Post Malone,-0.9711,0.057,0.126,0.817
89,2018,40,Pray For Me,The Weeknd & Kendrick Lamar,-0.9925,0.11,0.193,0.697
90,2018,41,Back To You,Selena Gomez,-0.898,0.033,0.054,0.913
91,2018,42,Sicko Mode,Travis Scott,0.9943,0.156,0.084,0.76
92,2018,43,Walk It Talk It,Migos Featuring Drake,0.9997,0.228,0.048,0.723
93,2018,44,Gucci Gang,Lil Pump,-0.9972,0.062,0.199,0.739
94,2018,45,Him & I,G-Eazy & Halsey,-0.9807,0.141,0.176,0.683
95,2018,46,In My Blood,Shawn Mendes,0.9952,0.247,0.05,0.703
96,2018,47,All The Stars,Kendrick Lamar & SZA,0.9773,0.154,0.116,0.73
97,2018,48,Stir Fry,Migos,0.9976,0.172,0.053,0.776
98,2018,49,Too Good At Goodbyes,Sam Smith,-0.8546,0.156,0.208,0.636
99,2018,50,Love.,Kendrick Lamar Featuring Zacari,0.9994,0.247,0.047,0.706
100,2016,1,Love Yourself,Justin Bieber,0.986,0.152,0.117,0.73
101,2016,2,Sorry,Justin Bieber,0.9039,0.13,0.142,0.728
102,2016,3,One Dance,Drake Featuring WizKid & Kyla,0.0,0.0,0.0,1.0
103,2016,4,Work,Rihanna Featuring Drake,0.947,0.053,0.033,0.914
104,2016,5,Stressed Out,twenty one pilots,0.9973,0.189,0.068,0.743
105,2016,6,Panda,Desiigner,-0.9968,0.077,0.149,0.774
106,2016,7,Hello,Adele,-0.9789,0.032,0.136,0.833
107,2016,8,Don't Let Me Down,The Chainsmokers Featuring Daya,0.9863,0.135,0.05,0.815
