,Year,Rank,Title,Artist,compound,pos,neg,neu
331,2008,36,Hot N Cold,Katy Perry,-0.3182,0.121,0.131,0.748
332,2008,37,Live Your Life,T.I. Featuring Rihanna,-0.8167,0.068,0.073,0.859
333,2008,38,Bust It Baby Part 2,Plies Featuring Ne-Yo,0.9979,0.167,0.044,0.789
334,2008,39,American Boy,Estelle Featuring Kanye West,0.9991,0.187,0.029,0.785
335,2008,40,Got Money,Lil Wayne Featuring T-Pain,0.997,0.172,0.069,0.76
336,2008,41,Our Song,Taylor Swift,0.9652,0.093,0.032,0.875
337,2008,42,Damaged,Danity Kane,-0.9975,0.037,0.157,0.806
338,2008,43,A Milli,Lil Wayne,-0.9978,0.122,0.217,0.661
339,2008,44,Sorry,Buckcherry,-0.6808,0.122,0.178,0.701
340,2008,45,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,0.8758,0.105,0.094,0.801
341,2008,46,Can't Believe It,T-Pain Featuring Lil Wayne,0.9948,0.163,0.033,0.803
342,2008,47,Like You'll Never See Me Again,Alicia Keys,0.9982,0.234,0.021,0.745
343,2008,48,Teardrops On My Guitar,Taylor Swift,0.9599,0.119,0.036,0.845
344,2008,49,When I Grow Up,The Pussycat Dolls,0.9983,0.165,0.016,0.819
345,2008,50,Sensual Seduction,Snoop Dogg,-0.8922,0.067,0.093,0.84
346,2006,1,Bad Day,Daniel Powter,-0.9949,0.072,0.193,0.734
347,2006,2,Temperature,Sean Paul,0.9962,0.127,0.031,0.842
348,2006,3,Promiscuous,Nelly Furtado Featuring Timbaland,0.9846,0.121,0.077,0.803
349,2006,4,You're Beautiful,James Blunt,0.9972,0.305,0.0,0.695
350,2006,5,Hips Don't Lie,Shakira Featuring Wyclef Jean,0.9908,0.111,0.069,0.82
351,2006,6,Unwritten,Natasha Bedingfield,-0.9789,0.038,0.11,0.853
352,2006,7,Crazy,Gnarls Barkley,-0.4281,0.139,0.159,0.701
353,2006,8,Ridin',Chamillionaire Featuring Krayzie Bone,-0.9948,0.112,0.128,0.76
354,2006,9,SexyBack,Justin Timberlake,0.9989,0.179,0.031,0.791
355,2006,10,Check On It,Beyonce Featuring Slim Thug,0.998,0.128,0.035,0.837
356,2006,11,Be Without You,Mary J. Blige,0.9806,0.096,0.055,0.849
357,2006,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",0.998,0.124,0.035,0.841
358,2006,13,Over My Head (Cable Car),The Fray,0.3975,0.049,0.041,0.909
359,2006,14,Me & U,Cassie,0.9961,0.138,0.0,0.862
360,2006,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,0.9832,0.056,0.007,0.937
361,2006,16,Run It!,Chris Brown,0.9939,0.093,0.033,0.873
362,2006,17,So Sick,Ne-Yo,-0.9929,0.137,0.227,0.636
363,2006,18,It's Goin' Down,Yung Joc,-0.8961,0.055,0.07,0.876
364,2006,19,SOS,Rihanna,0.9971,0.156,0.076,0.768
365,2006,20,I Write Sins Not Tragedies,Panic! At The Disco,-0.8484,0.171,0.186,0.642
366,2006,21,Move Along,The All-American Rejects,0.8934,0.103,0.078,0.818
367,2006,22,London Bridge,Fergie,0.9987,0.205,0.044,0.751
368,2006,23,Dani California,Red Hot Chili Peppers,0.9923,0.182,0.054,0.764
369,2006,26,What Hurts The Most,Rascal Flatts,-0.9835,0.042,0.153,0.805
370,2006,27,How To Save A Life,The Fray,0.9424,0.176,0.149,0.675
371,2006,28,Unfaithful,Rihanna,0.9652,0.149,0.103,0.748
372,2006,29,Chasing Cars,Snow Patrol,-0.3814,0.049,0.071,0.88
373,2006,30,Lips Of An Angel,Hinder,0.99,0.163,0.056,0.781
374,2006,31,Everytime We Touch,Cascada,0.9683,0.159,0.06,0.781
375,2006,32,Ain't No Other Man,Christina Aguilera,0.9988,0.222,0.032,0.746
376,2006,33,"Dance, Dance",Fall Out Boy,0.9945,0.204,0.109,0.687
377,2006,34,Gold Digger,Kanye West Featuring Jamie Foxx,0.9598,0.098,0.076,0.826
378,2006,35,Money Maker,Ludacris Featuring Pharrell,0.9895,0.136,0.09,0.773
379,2006,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,0.999,0.159,0.025,0.816
380,2006,38,Photograph,Nickelback,0.5052,0.065,0.08,0.855
381,2006,39,Because Of You,Kelly Clarkson,0.3209,0.136,0.135,0.729
382,2006,40,Stickwitu,The Pussycat Dolls,0.9935,0.112,0.0,0.888
383,2006,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,0.9983,0.159,0.033,0.808
384,2006,42,My Humps,The Black Eyed Peas,0.0,0.029,0.029,0.942
385,2006,43,Where'd You Go,Fort Minor Featuring Holly Brook,-0.815,0.125,0.127,0.748
386,2006,44,Yo (Excuse Me Miss),Chris Brown,0.9982,0.19,0.047,0.763
387,2006,45,Walk Away,Kelly Clarkson,0.9447,0.1,0.061,0.839
388,2006,46,Laffy Taffy,D4L,-0.9937,0.076,0.159,0.765
389,2006,47,What You Know,T.I.,-0.9728,0.05,0.072,0.878
390,2006,48,Dirty Little Secret,The All-American Rejects,-0.9912,0.046,0.186,0.768
391,2006,49,Savin' Me,Nickelback,-0.8975,0.079,0.105,0.815
392,2006,50,Don't Forget About Us,Mariah Carey,0.9952,0.166,0.061,0.773
